Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3
;Юнит-экономика;;
;;;
;;Средний чек;р.4 511
;;Частота заказов за срок жизни;2,1
;;Базовый LTV;р.9 473
;;;
;;Себестоимость в %;45,8%
;;Маржинальность в %;54,2%
;;Прямой LTV 1;р.5 138
;;;
;;Стоимость привлечения;р.3 371
;;Прямой LTV 2;р.1 767
;;% от Базового LTV;19%
;;;
;;Административные расходы на 1 руб.;р.0,55
;;Доля административных расходов за весь срок жизни;р.5 210
;;Чистый LTV;-р.3 443
;;% от Базового LTV;-36%
;;;
;;Прямой LTV 2/ Базовый LTV;0,19
;;;
;;Чистый LTV / CAC;-1,02
