Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
;;;;;;;
;;;;;;;
;;Юнит-экономика сервиса Сейфмани за 2020 год;;;;;
;;;;;;;
;;;Тариф;standard;family;premium;total
;;;;;;;
;;;Расходы на привлечение, за период;р.145 125;р.361 080;р.268 795;р.775 000
;;;Количество привлеченных клиентов, за период;244;330;181;755
;;;Средний чек;199;399;499;
;;;Средний срок жизни, мес.;10,8197;9,9273;10,7735;
;;;Базовый LTV;р.2 153;р.3 961;р.5 376;
;;;;;;;
;;;Себестоимость в %;15%;20%;10%;
;;;Маржинальность в %;85%;80%;90%;
;;;Прямой LTV 1;р.1 830;р.3 169;р.4 838;
;;;;;;;
;;;CAC;р.595;р.1 094;р.1 485;
;;;Прямой LTV 2;р.1 235;р.2 075;р.3 353;
;;;;;;;
;;;Административные расходы в месяц;р.192 507;р.260 358;р.142 802;р.595 667
;;;Адм. расходы на пользователя в месяц;р.789;р.789;р.789;
;;;Адм. расходы на пользователя за весь срок жизни;р.8 536;р.7 832;р.8 500;
;;;Чистый LTV;-р.7 301;-р.5 758;-р.5 147;
;;;;;;;
;;;Прямой LTV2 / Базовый LTV;57%;52%;62%;
;;;Чистый LTV / CAC;-12;-5;-3;
;;;;;;;
;;;;;;;
;;;;;;;
;;Выводы:;1. ЮЭ отрицательная;;;;
;;;2. динамика по когортам стабильна, без аномальных спадов и ростов.;;;;
;;;3. В 1-й и 8-й когорте прослеживается сниженный объем вхождения пользователей, возможно связанный с началом и завершением РК.;;;;
;;;;;;;
;;Варианты улучшения ситуации:;1. Определить плечо метрик и воздействовать на него;;;;
;;;2. Проанализировать расходную часть в модели ЮЭ и выдвинуть гипотизы об оптимизации;;;;
;;;3. Изменить стоимость тарифа;;;;
;;;4. ;;;;
;;;5. ;;;;
;;;6. ;;;;
